objectid;shape_leng;dis_elec;cir_sena;cod_comuna;codregion;st_area_sh;st_length_;Region;Comuna;Provincia
330;13987,32678080;10;7;13129;13;14243413,42060000000;16812,16761500000;Region Metropolitana de Santiago;San Joaquin;Santiago
331;13311,64130350;13;7;13130;13;13895381,12110000000;15988,81603740000;Region Metropolitana de Santiago;San Miguel;Santiago
332;11733,48670990;13;7;13131;13;9056279,75212000000;14061,52885790000;Region Metropolitana de Santiago;San Ramon;Santiago
309;11488,69574750;9;7;13108;13;10686368,32250000000;14088,41748830000;Region Metropolitana de Santiago;Independencia;Santiago
310;12797,59576210;13;7;13109;13;14541846,57980000000;15442,41275480000;Region Metropolitana de Santiago;La Cisterna;Santiago
323;36618,97169470;11;7;13122;13;77092706,94780000000;43954,33696770000;Region Metropolitana de Santiago;Peñalolen;Santiago
324;16072,40827580;10;7;13123;13;20730831,43830000000;19223,74093290000;Region Metropolitana de Santiago;Providencia;Santiago
314;23724,89935540;11;7;13113;13;33615096,95170000000;28343,66150830000;Region Metropolitana de Santiago;La Reina;Santiago
295;44852,01643060;14;7;13403;13;105618847,61600000000;54017,55924710000;Region Metropolitana de Santiago;Calera de Tango;Maipo
288;172581,44753000;8;7;13301;13;1386967859,08000000000;206660,18746600000;Region Metropolitana de Santiago;Colina;Chacabuco
333;24644,01861930;10;7;13101;13;33376783,77270000000;29171,60950010000;Region Metropolitana de Santiago;Santiago;Santiago
289;105302,27164300;8;7;13302;13;644966548,04400000000;125957,62691700000;Region Metropolitana de Santiago;Lampa;Chacabuco
291;103841,82653000;12;7;13202;13;644688715,66400000000;125049,19895400000;Region Metropolitana de Santiago;Pirque;Cordillera
292;48961,65483960;12;7;13201;13;126944640,33200000000;58874,13692100000;Region Metropolitana de Santiago;Puente Alto;Cordillera
308;32111,26581830;9;7;13107;13;64319628,36590000000;38432,09976030000;Region Metropolitana de Santiago;Huechuraba;Santiago
297;86349,61151560;14;7;13401;13;222758600,12700000000;103993,59404100000;Region Metropolitana de Santiago;San Bernardo;Maipo
299;153945,25737100;14;7;13503;13;998917700,62500000000;184598,34586200000;Region Metropolitana de Santiago;Curacavi;Melipilla
300;109727,64397800;14;7;13504;13;568671460,16900000000;131705,44133600000;Region Metropolitana de Santiago;Maria Pinto;Melipilla
303;20923,85923530;8;7;13102;13;23962251,39950000000;24881,81659410000;Region Metropolitana de Santiago;Cerrillos;Santiago
304;16740,50894340;9;7;13103;13;16106927,69580000000;19971,30898470000;Region Metropolitana de Santiago;Cerro Navia;Santiago
334;25316,04602200;11;7;13132;13;41234129,05530000000;30628,93243630000;Region Metropolitana de Santiago;Vitacura;Santiago
305;13816,63438870;9;7;13104;13;15802665,91890000000;16624,35826760000;Region Metropolitana de Santiago;Conchali;Santiago
306;15584,86387760;13;7;13105;13;20608987,19510000000;18894,45326590000;Region Metropolitana de Santiago;El Bosque;Santiago
18258;13054,56352430;8;7;13106;13;21220542,64360000000;22973,04087250000;Region Metropolitana de Santiago;Estacion Central;Santiago
311;49696,42679280;12;7;13110;13;102524500,67000000000;59570,56122120000;Region Metropolitana de Santiago;La Florida;Santiago
312;14001,42477770;10;7;13111;13;14519877,99670000000;16893,83616480000;Region Metropolitana de Santiago;La Granja;Santiago
313;26302,79069730;12;7;13112;13;44063102,06700000000;31608,30441880000;Region Metropolitana de Santiago;La Pintana;Santiago
315;51230,56324100;11;7;13114;13;141665818,38300000000;61618,09014760000;Region Metropolitana de Santiago;Las Condes;Santiago
316;149539,07426200;11;7;13115;13;1469676729,09000000000;180515,43669500000;Region Metropolitana de Santiago;Lo Barnechea;Santiago
317;11405,97603880;13;7;13116;13;11804789,59260000000;13685,61807670000;Region Metropolitana de Santiago;Lo Espejo;Santiago
318;10795,43331580;9;7;13117;13;9412959,32787000000;12827,15943920000;Region Metropolitana de Santiago;Lo Prado;Santiago
319;15200,75037390;10;7;13118;13;18447877,33320000000;18197,17763130000;Region Metropolitana de Santiago;Macul;Santiago
320;61424,98252580;8;7;13119;13;199087566,72300000000;73734,91342750000;Region Metropolitana de Santiago;Maipu;Santiago
321;17714,12605120;10;7;13120;13;24367720,24030000000;21422,18544600000;Region Metropolitana de Santiago;Ñuñoa;Santiago
322;13054,56352430;13;7;13121;13;12258083,38790000000;15005,04944020000;Region Metropolitana de Santiago;Pedro Aguirre Cerda;Santiago
325;72008,88548000;8;7;13124;13;285185488,35100000000;86258,75169830000;Region Metropolitana de Santiago;Pudahuel;Santiago
326;35236,92063240;8;7;13125;13;81528020,27690000000;42127,32031390000;Region Metropolitana de Santiago;Quilicura;Santiago
327;17674,57679050;9;7;13126;13;17084299,46720000000;21186,41939310000;Region Metropolitana de Santiago;Quinta Normal;Santiago
328;18338,21832110;9;7;13127;13;22529573,63440000000;22003,86342000000;Region Metropolitana de Santiago;Recoleta;Santiago
329;28974,95671130;9;7;13128;13;34071271,65290000000;34707,51821610000;Region Metropolitana de Santiago;Renca;Santiago
335;51238,61110490;14;7;13602;13;166986446,67800000000;61626,60241680000;Region Metropolitana de Santiago;El Monte;Talagante
337;50719,94756470;14;7;13604;13;116364344,64600000000;60916,54327350000;Region Metropolitana de Santiago;Padre Hurtado;Talagante
338;38814,44711150;14;7;13605;13;99927507,04680000000;46582,41086590000;Region Metropolitana de Santiago;Peñaflor;Talagante
339;69373,90548530;14;7;13601;13;185422581,41400000000;83423,75303100000;Region Metropolitana de Santiago;Talagante;Talagante
296;164101,56397200;14;7;13404;13;986612015,24700000000;196999,90850600000;Region Metropolitana de Santiago;Paine;Maipo
336;81883,46105350;14;7;13603;13;271043786,34900000000;98708,09270320000;Region Metropolitana de Santiago;Isla de Maipo;Talagante
294;89486,54234920;14;7;13402;13;315032979,67700000000;107037,54075500000;Region Metropolitana de Santiago;Buin;Maipo
293;483095,20285200;12;7;13203;13;7223837023,36000000000;582995,72204600000;Region Metropolitana de Santiago;San Jose de Maipo;Cordillera
290;133827,26544300;8;7;13303;13;932499624,70400000000;160053,56038300000;Region Metropolitana de Santiago;Tiltil;Chacabuco
301;232762,67873200;14;7;13501;13;1958270653,88000000000;279206,23761900000;Region Metropolitana de Santiago;Melipilla;Melipilla
302;162648,31190000;14;7;13505;13;1145315682,11000000000;195465,25112000000;Region Metropolitana de Santiago;San Pedro;Melipilla
298;154307,59436400;14;7;13502;13;1232469712,21000000000;186225,84890800000;Region Metropolitana de Santiago;Alhue;Melipilla
